관측소명,GENNUM,관측소표준코드,최초설치,구분,설치년도,경도-도,경도-분,경도-초,위도-도,위도-분,위도-초,표고(El.m),심도(m)
담양연천,,JN-DAM-E1-0002,수질,심부1,2010,,,,,,,114.5,30
담양연천,,JN-DAM-E1-0003,수질,심부2,2010,,,,,,,114.5,80
담양연천,,JN-DAM-E1-0001,수질,천부,2010,,,,,,,114.5,13.5
담양월계,,JN-DAM-E1-0005,수질,심부1,2010,,,,,,,135.6,35
담양월계,771437,JN-DAM-E1-0006,수질,심부2,2010,,,,,,,135.6,80
담양월계,771438,JN-DAM-E1-0004,수질,천부,2010,,,,,,,135.6,15.5
담양천변,,JN-DAM-E1-0008,수질,심부1,2010,,,,,,,45.4,34
담양천변,771439,JN-DAM-E1-0009,수질,심부2,2010,,,,,,,45.4,80
담양천변,771440,JN-DAM-E1-0007,수질,천부,2010,,,,,,,45.4,10
목포용당,6721,JN-MPK-L1-0001,국가,암반,1995,126,23,28,34,48,29,24.43,70
무안몽탄,73527,JN-MAN-L1-0002,국가,암반,2001,126,31,41,34,53,23,3.508,70
무안무안,11775,JN-MAN-L1-0001,국가,암반,1996,126,29,48,34,58,30,31.62,70
무안월암,,JN-MAN-E1-0008,수질,심부1,2014,126,29,37.93,34,51,12.99,11,54
무안월암,769769,JN-MAN-E1-0009,수질,심부2,2014,126,29,37.93,34,51,12.99,11,84
무안월암,769770,JN-MAN-E1-0007,수질,천부,2014,126,29,37.93,34,51,12.99,11,13
무안일로,612054,JN-MAN-L1-0004,국가,암반,2012,126,31,31,34,52,19,5.206,102
무안해제,84029,JN-MAN-L1-0003,국가,암반,2003,126,17,17,35,5,36,14.42,70
보성겸백,65019,JN-BSG-L1-0001,국가,암반,1998,127,9,0,34,49,31,120.65,71
보성벌교,82034,JN-BSG-L1-0002,국가,암반,2002,127,20,32,34,51,26,13.79,70
보성보성,771365,,국가,암반,2021,,,,,,,,
보성예당,,JN-BSG-E1-0002,수질,심부1,2011,127,11,42.45,34,46,43.07,26,30
보성예당,769773,JN-BSG-E1-0003,수질,심부2,2011,127,11,42.45,34,46,43.07,26,80
보성예당,769774,JN-BSG-E1-0001,수질,천부,2011,127,11,42.45,34,46,43.07,26,15
순창고원,,JB-SNC-E1-0005,수질,심부1,2017,,,,,,,82.2,30
순창고원,771475,JB-SNC-E1-0006,수질,심부2,2017,,,,,,,82.2,80
순창고원,771476,JB-SNC-E1-0004,수질,천부,2017,,,,,,,82.2,10
순창순창,65055,JB-SNC-L1-0001,국가,암반,1999,127,9,1,35,21,53,84.818,70
순창순창,65056,JB-SNC-L1-0002,국가,충적,1999,127,9,0,35,21,53,84.717,12.82
순창쌍치,82030,JB-SNC-L1-0003,국가,암반,2002,126,59,39,35,29,47,226.873,70
순창쌍치,82031,JB-SNC-L1-0004,국가,충적,2002,126,59,39,35,29,47,226.849,16.85
순창외이,,JB-SNC-E1-0008,수질,심부1,2017,127,11,21.36,35,21,43.81,82.27,30
순창외이,737620,JB-SNC-E1-0009,수질,심부2,2017,127,11,21.36,35,21,43.81,82.27,80
순창외이,737619,JB-SNC-E1-0007,수질,천부,2017,127,11,21.36,35,21,43.81,82.27,10
순창운남,,JB-SNC-E1-0014,수질,심부1,2018,127,6,2.23,35,27,9.83,199.078,30
순창운남,769791,JB-SNC-E1-0015,수질,심부2,2018,127,6,2.23,35,27,9.83,199.056,80
순창운남,769792,JB-SNC-E1-0013,수질,천부,2018,127,6,2.23,35,27,9.83,199.076,10
순창정산,,JB-SNC-E1-0002,수질,심부1,2014,126,55,32.81,35,25,56.17,294,30
순창정산,769793,JB-SNC-E1-0003,수질,심부2,2014,126,55,32.81,35,25,56.17,294,80
순창정산,769794,JB-SNC-E1-0001,수질,천부,2014,126,55,32.81,35,25,56.17,294,10
순창현포,,JB-SNC-E1-0011,수질,심부1,2017,127,14,41.84,35,26,28.38,91.006,30
